,DAVID MOSS,ANTOINE VERMETTE,MIKKEL BOEDKER,MARTIN HANZAL,SHANE DOAN,KEITH YANDLE,RADIM VRBATA
DAVID MOSS,0.0,4.0,2.0,1.0,0.0,2.0,0.0
ANTOINE VERMETTE,0.0,0.0,8.0,0.0,6.0,6.0,4.0
MIKKEL BOEDKER,0.0,0.0,0.0,9.0,2.0,2.0,3.0
MARTIN HANZAL,0.0,0.0,0.0,0.0,5.0,4.0,19.0
SHANE DOAN,0.0,0.0,0.0,0.0,0.0,8.0,6.0
KEITH YANDLE,0.0,0.0,0.0,0.0,0.0,0.0,9.0
RADIM VRBATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
