,CORY CONACHER,VINCENT LECAVALIER,TEDDY PURCELL,MARTIN ST. LOUIS,STEVEN STAMKOS
CORY CONACHER,0.0,5.0,5.0,4.0,14.0
VINCENT LECAVALIER,5.0,0.0,2.0,19.0,7.0
TEDDY PURCELL,5.0,2.0,0.0,11.0,27.0
MARTIN ST. LOUIS,4.0,19.0,11.0,0.0,36.0
STEVEN STAMKOS,14.0,7.0,27.0,36.0,0.0
