,MIKKEL BOEDKER,MARTIN HANZAL,SHANE DOAN,KEITH YANDLE,RADIM VRBATA
MIKKEL BOEDKER,0.0,9.0,2.0,2.0,3.0
MARTIN HANZAL,9.0,0.0,5.0,4.0,19.0
SHANE DOAN,2.0,5.0,0.0,8.0,6.0
KEITH YANDLE,2.0,4.0,8.0,0.0,9.0
RADIM VRBATA,3.0,19.0,6.0,9.0,0.0
