,VIKTOR STALBERG,BRANDON SAAD,MARIAN HOSSA,JONATHAN TOEWS,PATRICK KANE
VIKTOR STALBERG,0.0,2.0,0.0,0.0,6.0
BRANDON SAAD,2.0,0.0,2.0,30.0,2.0
MARIAN HOSSA,0.0,2.0,0.0,20.0,13.0
JONATHAN TOEWS,0.0,30.0,20.0,0.0,12.0
PATRICK KANE,6.0,2.0,13.0,12.0,0.0
