,CARL HAGELIN,BRAD RICHARDS,RYAN CALLAHAN,RICK NASH,DEREK STEPAN
CARL HAGELIN,0.0,3.0,4.0,11.0,9.0
BRAD RICHARDS,3.0,0.0,4.0,14.0,7.0
RYAN CALLAHAN,4.0,4.0,0.0,10.0,27.0
RICK NASH,11.0,14.0,10.0,0.0,19.0
DEREK STEPAN,9.0,7.0,27.0,19.0,0.0
