,BRENT BURNS,PATRICK MARLEAU,JOE THORNTON,JOE PAVELSKI,LOGAN COUTURE
BRENT BURNS,0.0,3.0,4.0,2.0,4.0
PATRICK MARLEAU,3.0,0.0,20.0,12.0,17.0
JOE THORNTON,4.0,20.0,0.0,12.0,13.0
JOE PAVELSKI,2.0,12.0,12.0,0.0,5.0
LOGAN COUTURE,4.0,17.0,13.0,5.0,0.0
