,MIKE GREEN,NICKLAS BACKSTROM,TROY BROUWER,MIKE RIBEIRO,ALEX OVECHKIN
MIKE GREEN,0.0,8.0,6.0,9.0,16.0
NICKLAS BACKSTROM,8.0,0.0,10.0,3.0,33.0
TROY BROUWER,6.0,10.0,0.0,21.0,11.0
MIKE RIBEIRO,9.0,3.0,21.0,0.0,35.0
ALEX OVECHKIN,16.0,33.0,11.0,35.0,0.0
