,JEFF SKINNER,JORDAN STAAL,JIRI TLUSTY,ALEXANDER SEMIN,ERIC STAAL
JEFF SKINNER,0.0,15.0,2.0,4.0,4.0
JORDAN STAAL,15.0,0.0,4.0,4.0,0.0
JIRI TLUSTY,2.0,4.0,0.0,32.0,37.0
ALEXANDER SEMIN,4.0,4.0,32.0,0.0,28.0
ERIC STAAL,4.0,0.0,37.0,28.0,0.0
