,DUSTIN BYFUGLIEN,BRYAN LITTLE,EVANDER KANE,ANDREW LADD,BLAKE WHEELER
DUSTIN BYFUGLIEN,0.0,2.0,6.0,11.0,9.0
BRYAN LITTLE,2.0,0.0,2.0,21.0,16.0
EVANDER KANE,6.0,2.0,0.0,3.0,7.0
ANDREW LADD,11.0,21.0,3.0,0.0,28.0
BLAKE WHEELER,9.0,16.0,7.0,28.0,0.0
