,PETER MUELLER,SHAWN MATTHIAS,TOMAS KOPECKY,JONATHAN HUBERDEAU,TOMAS FLEISCHMANN
PETER MUELLER,0.0,4.0,2.0,18.0,1.0
SHAWN MATTHIAS,4.0,0.0,3.0,10.0,4.0
TOMAS KOPECKY,2.0,3.0,0.0,0.0,18.0
JONATHAN HUBERDEAU,18.0,10.0,0.0,0.0,4.0
TOMAS FLEISCHMANN,1.0,4.0,18.0,4.0,0.0
