,MIKA ZIBANEJAD,PATRICK WIERCIOCH,DANIEL ALFREDSSON,JAKOB SILFVERBERG,KYLE TURRIS
MIKA ZIBANEJAD,0.0,2.0,1.0,4.0,0.0
PATRICK WIERCIOCH,2.0,0.0,6.0,4.0,7.0
DANIEL ALFREDSSON,1.0,6.0,0.0,3.0,20.0
JAKOB SILFVERBERG,4.0,4.0,3.0,0.0,2.0
KYLE TURRIS,0.0,7.0,20.0,2.0,0.0
