,JIRI HUDLER,CURTIS GLENCROSS,ALEX TANGUAY,LEE STEMPNIAK,MIKE CAMMALLERI
JIRI HUDLER,0.0,0.0,4.0,1.0,5.0
CURTIS GLENCROSS,0.0,0.0,6.0,14.0,7.0
ALEX TANGUAY,4.0,6.0,0.0,3.0,9.0
LEE STEMPNIAK,1.0,14.0,3.0,0.0,7.0
MIKE CAMMALLERI,5.0,7.0,9.0,7.0,0.0
