,RYAN NUGENT-HOPKINS,SAM GAGNER,NAIL YAKUPOV,JORDAN EBERLE,TAYLOR HALL
RYAN NUGENT-HOPKINS,0.0,4.0,0.0,7.0,16.0
SAM GAGNER,4.0,0.0,17.0,6.0,6.0
NAIL YAKUPOV,0.0,17.0,0.0,3.0,9.0
JORDAN EBERLE,7.0,6.0,3.0,0.0,30.0
TAYLOR HALL,16.0,6.0,9.0,30.0,0.0
