,COLIN WILSON,GABRIEL BOURQUE,MIKE FISHER,SHEA WEBER,DAVID LEGWAND
COLIN WILSON,0.0,2.0,6.0,8.0,4.0
GABRIEL BOURQUE,2.0,0.0,2.0,6.0,13.0
MIKE FISHER,6.0,2.0,0.0,8.0,0.0
SHEA WEBER,8.0,6.0,8.0,0.0,8.0
DAVID LEGWAND,4.0,13.0,0.0,8.0,0.0
