team,goals_for,goals_against
TOR,239,264
NSH,223,250
PHI,244,244
ANA,275,218
OTT,244,273
TBL,248,223
LAK,214,181
DET,228,235
STL,260,200
WSH,252,257
SJS,261,209
CAR,209,233
NYR,223,199
NYI,239,279
BOS,265,181
CBJ,235,219
EDM,209,275
NJD,201,216
CGY,220,253
VAN,199,226
COL,254,223
BUF,166,257
WPG,238,250
MTL,220,209
PIT,253,211
PHX,226,240
FLA,207,280
MIN,216,216
DAL,240,233
CHI,278,232
