team,goals_for,goals_against
TOR,287,252
NSH,244,218
ANA,201,253
PHI,247,284
OTT,242,303
TBL,331,226
ARI,217,227
DET,229,279
LAK,208,268
STL,251,226
WSH,285,256
SJS,289,261
CAR,246,224
NYR,237,280
NYI,230,198
BOS,262,218
CBJ,261,234
EDM,237,278
NJD,226,280
CGY,292,230
VAN,229,259
COL,262,248
VGK,250,231
BUF,233,280
WPG,275,247
MTL,251,237
PIT,274,243
FLA,273,290
MIN,212,238
DAL,211,203
CHI,273,294
