team,goals_for,goals_against
TOR,204,252
NSH,230,217
PHI,219,224
ANA,222,197
OTT,245,255
TBL,230,204
ARI,210,246
LAK,228,198
DET,215,228
STL,232,210
SJS,245,214
WSH,256,197
CAR,201,229
NYR,239,219
NYI,239,222
BOS,241,230
CBJ,224,258
EDM,208,250
NJD,190,214
CGY,235,263
VAN,197,249
COL,218,241
BUF,203,226
WPG,219,244
MTL,225,241
PIT,250,207
FLA,250,212
MIN,218,208
DAL,273,237
CHI,237,211
