team,goals_for,goals_against
TOR,236,265
NSH,233,233
ANA,213,200
PHI,255,240
OTT,268,254
TBL,225,269
LAK,238,273
DET,264,190
STL,207,238
SJS,234,205
WSH,248,238
CAR,257,254
NYR,220,206
NYI,200,250
BOS,214,225
CBJ,201,224
EDM,244,259
NJD,213,204
CGY,233,230
VAN,220,223
COL,240,226
BUF,262,250
MTL,266,226
PIT,257,225
ARI,221,237
FLA,220,231
ATL,224,278
MIN,230,228
DAL,247,213
CHI,244,240
