team,goals_for,goals_against
TOR,225,259
NSH,222,197
PHI,266,233
ANA,241,237
OTT,193,252
TBL,252,246
DET,263,241
LAK,229,207
STL,252,246
SJS,253,216
WSH,230,203
CAR,239,242
NYR,240,204
NYI,236,272
BOS,250,200
CBJ,223,264
EDM,199,275
NJD,177,212
CGY,260,247
VAN,268,192
COL,228,289
BUF,252,237
MTL,220,213
PIT,244,203
ARI,239,233
FLA,200,236
ATL,230,275
MIN,214,243
DAL,237,241
CHI,263,230
