team,goals_for,goals_against
TOR,219,272
NSH,235,234
PHI,239,228
ANA,246,261
OTT,233,245
TBL,219,263
DET,242,228
LAK,258,235
STL,235,231
WSH,326,243
SJS,270,222
CAR,232,258
NYR,226,223
NYI,238,279
BOS,215,210
CBJ,227,269
EDM,226,296
NJD,228,198
CGY,211,220
VAN,280,229
COL,255,245
BUF,246,217
MTL,221,228
PIT,260,238
ARI,245,221
FLA,217,254
ATL,240,261
MIN,228,254
DAL,244,261
CHI,284,222
