team,goals_for,goals_against
TOR,258,302
NSH,219,239
ANA,252,244
PHI,268,243
OTT,226,246
TBL,218,289
DET,298,247
LAK,215,244
STL,241,240
SJS,265,212
WSH,276,247
CAR,243,231
NYR,219,225
NYI,205,283
BOS,277,201
CBJ,231,235
EDM,239,250
NJD,250,215
CGY,252,245
VAN,252,224
COL,212,267
BUF,261,242
MTL,254,255
PIT,269,244
ARI,210,259
FLA,237,236
ATL,262,285
MIN,222,203
DAL,243,269
CHI,271,223
