,CLAYTON KELLER,CHRISTIAN DVORAK,PHIL KESSEL,JAKOB CHYCHRUN,CONOR GARLAND
CLAYTON KELLER,0.0,9.0,12.0,11.0,11.0
CHRISTIAN DVORAK,9.0,0.0,18.0,6.0,5.0
PHIL KESSEL,12.0,18.0,0.0,5.0,2.0
JAKOB CHYCHRUN,11.0,6.0,5.0,0.0,14.0
CONOR GARLAND,11.0,5.0,2.0,14.0,0.0
