,CHRIS KREIDER,RYAN STROME,PAVEL BUCHNEVICH,MIKA ZIBANEJAD,ARTEMI PANARIN
CHRIS KREIDER,0.0,18.0,8.0,12.0,15.0
RYAN STROME,18.0,0.0,6.0,15.0,29.0
PAVEL BUCHNEVICH,8.0,6.0,0.0,33.0,11.0
MIKA ZIBANEJAD,12.0,15.0,33.0,0.0,13.0
ARTEMI PANARIN,15.0,29.0,11.0,13.0,0.0
