,DOUGIE HAMILTON,ANDREI SVECHNIKOV,MARTIN NECAS,VINCENT TROCHECK,SEBASTIAN AHO
DOUGIE HAMILTON,0.0,13.0,7.0,16.0,12.0
ANDREI SVECHNIKOV,13.0,0.0,5.0,12.0,19.0
MARTIN NECAS,7.0,5.0,0.0,13.0,17.0
VINCENT TROCHECK,16.0,12.0,13.0,0.0,10.0
SEBASTIAN AHO,12.0,19.0,17.0,10.0,0.0
