,PATRIK LAINE,JACK ROSLOVIC,MAX DOMI,CAM ATKINSON,OLIVER BJORKSTRAND
PATRIK LAINE,0.0,8.0,5.0,13.0,2.0
JACK ROSLOVIC,8.0,0.0,5.0,18.0,10.0
MAX DOMI,5.0,5.0,0.0,2.0,14.0
CAM ATKINSON,13.0,18.0,2.0,0.0,9.0
OLIVER BJORKSTRAND,2.0,10.0,14.0,9.0,0.0
