,CALLE JARNKROK,FILIP FORSBERG,ROMAN JOSI,MIKAEL GRANLUND,VIKTOR ARVIDSSON
CALLE JARNKROK,0.0,1.0,5.0,8.0,1.0
FILIP FORSBERG,1.0,0.0,3.0,4.0,10.0
ROMAN JOSI,5.0,3.0,0.0,12.0,3.0
MIKAEL GRANLUND,8.0,4.0,12.0,0.0,3.0
VIKTOR ARVIDSSON,1.0,10.0,3.0,3.0,0.0
