,ALEX KILLORN,ONDREJ PALAT,VICTOR HEDMAN,YANNI GOURDE,BRAYDEN POINT
ALEX KILLORN,0.0,5.0,9.0,5.0,8.0
ONDREJ PALAT,5.0,0.0,11.0,3.0,27.0
VICTOR HEDMAN,9.0,11.0,0.0,3.0,15.0
YANNI GOURDE,5.0,3.0,3.0,0.0,0.0
BRAYDEN POINT,8.0,27.0,15.0,0.0,0.0
