,NILS HOGLANDER,QUINN HUGHES,BO HORVAT,JT MILLER,BROCK BOESER
NILS HOGLANDER,0.0,2.0,17.0,4.0,8.0
QUINN HUGHES,2.0,0.0,8.0,11.0,14.0
BO HORVAT,17.0,8.0,0.0,17.0,18.0
JT MILLER,4.0,11.0,17.0,0.0,17.0
BROCK BOESER,8.0,14.0,18.0,17.0,0.0
