,TIMO MEIER,KEVIN LABANC,LOGAN COUTURE,TOMAS HERTL,EVANDER KANE
TIMO MEIER,0.0,3.0,3.0,11.0,2.0
KEVIN LABANC,3.0,0.0,13.0,2.0,14.0
LOGAN COUTURE,3.0,13.0,0.0,7.0,18.0
TOMAS HERTL,11.0,2.0,7.0,0.0,17.0
EVANDER KANE,2.0,14.0,18.0,17.0,0.0
