,BRANDON HAGEL,PIUS SUTER,DOMINIK KUBALIK,ALEX DEBRINCAT,PATRICK KANE
BRANDON HAGEL,0.0,3.0,14.0,3.0,3.0
PIUS SUTER,3.0,0.0,5.0,17.0,14.0
DOMINIK KUBALIK,14.0,5.0,0.0,9.0,4.0
ALEX DEBRINCAT,3.0,17.0,9.0,0.0,45.0
PATRICK KANE,3.0,14.0,4.0,45.0,0.0
