,ANDREW COPP,NIKOLAJ EHLERS,BLAKE WHEELER,KYLE CONNOR,MARK SCHEIFELE
ANDREW COPP,0.0,25.0,1.0,2.0,9.0
NIKOLAJ EHLERS,25.0,0.0,0.0,12.0,11.0
BLAKE WHEELER,1.0,0.0,0.0,28.0,29.0
KYLE CONNOR,2.0,12.0,28.0,0.0,38.0
MARK SCHEIFELE,9.0,11.0,29.0,38.0,0.0
