,JORDAN GREENWAY,MATS ZUCCARELLO,JOEL ERIKSSON EK,KEVIN FIALA,KIRILL KAPRIZOV
JORDAN GREENWAY,0.0,0.0,25.0,2.0,2.0
MATS ZUCCARELLO,0.0,0.0,0.0,5.0,25.0
JOEL ERIKSSON EK,25.0,0.0,0.0,6.0,6.0
KEVIN FIALA,2.0,5.0,6.0,0.0,12.0
KIRILL KAPRIZOV,2.0,25.0,6.0,12.0,0.0
