,JESPER BRATT,MILES WOOD,YEGOR SHARANGOVICH,JACK HUGHES,PAVEL ZACHA
JESPER BRATT,0.0,7.0,1.0,1.0,23.0
MILES WOOD,7.0,0.0,4.0,5.0,5.0
YEGOR SHARANGOVICH,1.0,4.0,0.0,13.0,0.0
JACK HUGHES,1.0,5.0,13.0,0.0,6.0
PAVEL ZACHA,23.0,5.0,0.0,6.0,0.0
