,WILLIAM KARLSSON,ALEX TUCH,JONATHAN MARCHESSAULT,MAX PACIORETTY,MARK STONE
WILLIAM KARLSSON,0.0,4.0,32.0,1.0,7.0
ALEX TUCH,4.0,0.0,6.0,3.0,5.0
JONATHAN MARCHESSAULT,32.0,6.0,0.0,2.0,0.0
MAX PACIORETTY,1.0,3.0,2.0,0.0,48.0
MARK STONE,7.0,5.0,0.0,48.0,0.0
