,JAKUB VORACEK,JAMES VAN RIEMSDYK,JOEL FARABEE,CLAUDE GIROUX,SEAN COUTURIER
JAKUB VORACEK,0.0,7.0,5.0,19.0,7.0
JAMES VAN RIEMSDYK,7.0,0.0,18.0,10.0,14.0
JOEL FARABEE,5.0,18.0,0.0,3.0,12.0
CLAUDE GIROUX,19.0,10.0,3.0,0.0,8.0
SEAN COUTURIER,7.0,14.0,12.0,8.0,0.0
