,JOSH BAILEY,ANTHONY BEAUVILLIER,JORDAN EBERLE,BROCK NELSON,MATHEW BARZAL
JOSH BAILEY,0.0,14.0,1.0,16.0,7.0
ANTHONY BEAUVILLIER,14.0,0.0,5.0,17.0,4.0
JORDAN EBERLE,1.0,5.0,0.0,8.0,19.0
BROCK NELSON,16.0,17.0,8.0,0.0,2.0
MATHEW BARZAL,7.0,4.0,19.0,2.0,0.0
