name,id,mean_duration,mean_game,total,game_played
JIMMY HAYES,8474625,48.09979633401222,11.927777777777777,393.6166666666667,33
JORI LEHTERA,8474627,41.08613445378151,10.514516129032257,651.9,62
MICHAEL STONE,8474628,46.84252416145537,16.747154471544714,1373.2666666666667,82
MARIAN GABORIK,8468483,44.32873563218391,13.973188405797101,642.7666666666667,46
SCOTT HARTNELL,8468486,40.67970882620564,12.018010752688173,745.1166666666667,62
DANIEL BRICKLEY,8480771,46.285714285714285,10.8,10.8,1
MICHAEL HUTCHINSON,8474636,858.3333333333334,42.916666666666664,128.75,3
RON HAINSEY,8468493,47.381941309255076,21.86479166666667,1749.1833333333334,80
CHRIS KUNITZ,8470543,42.49891540130152,11.946341463414633,979.6,82
ADAM HENRIQUE,8474641,46.87418655097614,17.785185185185185,1440.6,81
BROOKS ORPIK,8468498,52.37228714524207,19.364814814814814,1568.55,81
LANCE BOUMA,8474642,40.36710369487485,10.650314465408805,564.4666666666667,53
BRADEN HOLTBY,8474651,872.3601895734597,56.81111111111111,3067.8,54
JUSTIN WILLIAMS,8468508,45.44153674832962,16.5880081300813,1360.2166666666667,82
NIKLAS KRONWALL,8468509,46.013626834381554,18.521940928270045,1463.2333333333333,79
DAVID WARSOFSKY,8474660,43.442567567567565,13.394791666666666,214.31666666666666,16
HARRI SATERI,8474667,1055.5714285714287,54.733333333333334,492.6,9
DALE WEISE,8474668,41.21468926553672,10.572463768115941,486.3333333333333,46
TJ BRODIE,8474673,52.0939226519337,23.68013698630137,1728.65,73
GUSTAV NYQUIST,8474679,48.363436123348016,17.851219512195122,1463.8,82
ANTOINE VERMETTE,8468535,38.737344093910494,13.749739583333334,879.9833333333333,64
DEREK GRANT,8474683,38.995563442768415,11.097979797979798,732.4666666666667,66
MATT CALVERT,8474685,43.67271293375394,13.376086956521739,922.95,69
PAUL MARTIN,8468542,45.922222222222224,14.760714285714284,206.65,14
GREG PATERYN,8474688,44.63272727272727,19.615981735159817,1431.9666666666667,73
MARC-ANDRE FLEURY,8470594,972.1454545454545,58.11739130434783,2673.4,46
ERIC STAAL,8470595,49.79261363636363,17.8119918699187,1460.5833333333333,82
THOMAS VANEK,8470598,42.66309148264984,14.087708333333333,1127.0166666666667,80
RYAN SUTER,8470600,59.44876660341556,26.777350427350427,2088.633333333333,78
MARK BOROWIECKI,8474697,41.00897666068223,14.642307692307693,761.4,52
DION PHANEUF,8470602,45.26552053486151,19.99704641350211,1579.7666666666667,79
BRAYDON COBURN,8470601,44.92083062946139,16.023842592592594,1153.7166666666667,72
JEFF CARTER,8470604,45.88095238095238,17.842592592592595,481.75,27
DUSTIN BROWN,8470606,47.74888558692422,19.83641975308642,1606.75,81
BRENT SEABROOK,8470607,42.14641477028768,20.197325102880658,1635.9833333333333,81
STEVE BERNIER,8470609,45.528301886792455,10.054166666666667,40.21666666666667,4
ZACH PARISE,8470610,49.0866590649943,17.082936507936505,717.4833333333333,42
ERIC FEHR,8470611,38.67477203647417,11.781481481481482,212.06666666666666,18
RYAN GETZLAF,8470612,50.06258692628651,21.425595238095237,1199.8333333333333,56
