name,id,mean_duration,mean_game,total,game_played
RICK DIPIETRO,8468481.0,808.3684210526316,51.19666666666667,255.98333333333332,5
DANY HEATLEY,8468482.0,54.51460055096419,20.11056910569106,1649.0666666666666,82
MARIAN GABORIK,8468483.0,43.38936170212766,19.99313725490196,339.8833333333333,17
ROSTISLAV KLESLA,8468484.0,44.76569037656904,20.97843137254902,713.2666666666667,34
RAFFI TORRES,8468485.0,41.17575083426029,12.097058823529412,616.95,51
SCOTT HARTNELL,8468486.0,45.631770833333334,17.807520325203253,1460.2166666666667,82
BRENT KRAHN,8468489.0,1200.0,20.0,20.0,1
RON HAINSEY,8468493.0,51.579297245963915,22.35102880658436,1810.4333333333334,81
CHRIS KUNITZ,8470543.0,47.34367681498829,16.435569105691055,1347.7166666666667,82
BROOKS ORPIK,8468498.0,49.891304347826086,20.335443037974684,1606.5,79
KRYS KOLANOS,8468499.0,36.200542005420054,10.601587301587301,222.63333333333333,21
ALEX FROLOV,8468500.0,47.068030690537086,19.91731601731602,1533.6333333333334,77
ANTON VOLCHENKOV,8468501.0,49.236069502696225,20.14093137254902,1369.5833333333333,68
DAVID HALE,8468502.0,41.3260663507109,15.138541666666667,726.65,48
BRAD BOYES,8468504.0,46.02785923753666,19.140853658536585,1569.55,82
STEVE OTT,8468505.0,53.61208875286916,18.24765625,1167.85,64
BRIAN SUTHERBY,8468506.0,43.0613154960981,10.911299435028248,643.7666666666667,59
JUSTIN WILLIAMS,8468508.0,46.73021181716834,15.877651515151515,698.6166666666667,44
NIKLAS KRONWALL,8468509.0,46.9523396880416,22.862025316455696,1806.1,79
JEFF TAFFE,8468510.0,39.640776699029125,8.50625,68.05,8
NICK SCHULTZ,8468513.0,43.02694346289753,20.55126582278481,1623.55,79
BRAD WINCHESTER,8468515.0,38.823773898586865,12.162760416666666,778.4166666666666,64
JOE MOTZKO,8470564.0,49.35294117647059,11.652777777777777,69.91666666666667,6
ANDY HILBERT,8468517.0,42.968232958305755,16.15049751243781,1082.0833333333333,67
TOMAS KOPECKY,8468518.0,40.8325,10.469871794871796,816.65,78
KURTIS FOSTER,8468520.0,40.35643564356435,13.586666666666668,135.86666666666667,10
MATT PETTINGER,8468523.0,40.18064516129032,12.315254237288135,726.6,59
ILYA BRYZGALOV,8468524.0,952.7811158798283,57.81197916666667,3699.9666666666667,64
JARRET STOLL,8468526.0,42.543466068424,17.08445945945946,1264.25,74
TOM PREISSING,8470575.0,47.64655172413793,16.748484848484846,368.46666666666664,22
FREDDY MEYER,8470578.0,51.44866385372715,22.580246913580247,609.6666666666666,27
JED ORTMEYER,8470580.0,41.3125,11.016666666666667,22.033333333333335,2
ANDREAS LILJA,8468534.0,44.85342261904762,17.02909604519774,1004.7166666666667,59
ANTOINE VERMETTE,8468535.0,46.5872591006424,18.359704641350213,1450.4166666666667,79
WADE DUBIELEWICZ,8470584.0,843.1666666666666,56.21111111111111,168.63333333333333,3
DAN ELLIS,8468540.0,873.2074074074075,56.13476190476191,1964.7166666666667,35
PAUL MARTIN,8468542.0,53.26347305389221,24.36986301369863,1779.0,73
MARC-ANDRE FLEURY,8470594.0,945.8484848484849,58.73413978494624,3641.516666666667,62
ERIC STAAL,8470595.0,49.77298311444653,21.568292682926828,1768.6,82
NATHAN HORTON,8470596.0,46.42884864165589,17.85547263681592,1196.3166666666666,67
NIKOLAI ZHERDEV,8470597.0,47.80311778290993,16.828252032520325,1379.9166666666667,82
THOMAS VANEK,8470598.0,46.785714285714285,17.197488584474886,1255.4166666666667,73
MILAN MICHALEK,8470599.0,43.31910569105691,18.452813852813854,1420.8666666666666,77
RYAN SUTER,8470600.0,52.585022026431716,24.26178861788618,1989.4666666666667,82
JOEL LUNDQVIST,8468548.0,45.943986820428336,10.809302325581395,464.8,43
DION PHANEUF,8470602.0,54.332466406588644,26.44409282700422,2089.0833333333335,79
ANDREI KOSTITSYN,8470603.0,51.310600444773904,15.589639639639639,1153.6333333333334,74
BRAYDON COBURN,8470601.0,48.56285949055054,24.62541666666667,1970.0333333333333,80
JEFF CARTER,8470604.0,46.3438202247191,20.958333333333332,1718.5833333333333,82
